['ClinVarReal', 'C45vF', 0.4, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.5, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.2, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.05, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.6, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.7, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.3, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.1, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.8, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.9, 'Real', 100, 0]	F									
['ClinVarReal', 'C45vF', 0.5, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.2, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.05, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.1, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.4, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.5, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.9, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.3, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.6, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.7, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.8, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.9, 'Real', 300, 0]	F									
['ClinVarReal', 'C45vF', 0.1, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.2, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.3, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.4, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.5, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.05, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.6, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.7, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.8, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.9, 'Real', 500, 0]	F									
['ClinVarReal', 'C45vF', 0.1, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.4, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.3, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.2, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.7, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.8, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.05, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45vF', 0.6, 'Real', 1000, 0]	F									
